species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Sporagra magellanica	bird	16	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.027491	0.027491	0.027491	0.027491	0.027491		0.081633																		
Sporophila americana	bird	55	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.014349	0.014349	0.014349	0.014349	0.014349			LC	12	1	species					granivore	omnivore	genus							
Sporophila angolensis	bird	30	13	34	0.2647	12	17.31	69.83	-0.6	-23.8	-45.9	-74.9	18.000	26.100	1000.0	3500.0	0.004904	0.004828	0.005714	0.010101	0.094488	0.001873	0.003090		13	1	species					granivore		species							
Sporophila caerulescens	bird	16	3	5	0.2000	3	10.04	18.24	-21.8	-27.2	-46.6	-65.6	18.800	22.55	1291.0	1700.0	0.006650	0.004330	0.001957	0.036154	0.070352	0.004263	0.002086	LC	10.2	1	species					granivore		species							
Sporophila castaneiventris	bird	11	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.008321	0.008321	0.008321	0.008321	0.008321		0.001989	LC	7.8	1	species					granivore	omnivore	genus							
Sporophila collaris	bird	7	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.037433	0.037433	0.037433	0.037433	0.037433		0.056452	LC								granivore	omnivore	genus							
Sporophila corvina	bird	168	16	30	0.4333	6	5.74	16.59	18.5	9.0	-79.1	-92.1	24.400	27.000	2000.0	4260.0	0.034575	0.021398	0.018207	0.039931	0.191406	0.012265	0.011632	LC	10.6235587257755	2	species					granivore	omnivore	genus							
Sporophila hypoxantha	bird	2	1			1			-23.8	-23.8	-56.3	-56.3	22.55	22.55	1291.0	1291.0	0.010050	0.010050	0.010050	0.010050	0.010050			LC								granivore	omnivore	genus							
Sporophila leucoptera	bird	3	2	4	0.0000	2	15.25	13.45	-14.7	-23.8	-56.3	-66.8	22.55	22.55	1291.0	1291.0	0.009202	0.008896	0.010387	0.010387	0.015748	0.001645	0.043478	LC	15.5	1	species					granivore		species							
Sporophila lineola	bird	6	4	14	0.0714	4	20.84	36.33	10.7	-24.8	-63.7	-67.9	20.000	27.300	430.0	1951.0	0.000981	0.001510	0.001100	0.004628	0.007812	0.000312	0.000902	LC	9.8	1	species					granivore		species							
Sporophila minuta	bird	2	2	7	0.0000	2	16.92	18.25	13.7	10.2	-67.5	-85.8	15.500	24.400	1700.0	2274.0	0.004751	0.004866	0.004983	0.004983	0.006061	0.000000	0.010417	LC	7.8	1	species					granivore	omnivore	genus							
Sporophila murallae	bird	1	1			1			-8.5	-8.5	-74.9	-74.9	25.700	25.700	2400.0	2400.0	0.010101	0.010101	0.010101	0.010101	0.010101		0.006173	LC								granivore	omnivore	genus							
Sporophila nigricollis	bird	6	2	40	0.0000	2	45.63	44.52	9.3	-21.8	-46.6	-79.1	19.5	19.5	1500.0	1500.0	0.007864	0.007882	0.007882	0.007882	0.007937	0.000253	0.015306	LC	9.6	1	species					granivore		species							
Sporophila plumbea	bird	19	2	1	0.0000	2	6.29	6.23	-15.6	-21.8	-46.6	-47.6	19.5	20.7	1500.0	1552.0	0.014604	0.006677	0.012371	0.012371	0.022785	0.000000	0.002786	LC	9.7	1	species					granivore	omnivore	genus							
Sporophila schistacea	bird	7	1			1			-14.1	-14.1	-60.9	-60.9	25.500	25.500	1450.0	1450.0	0.010937	0.010938	0.010937	0.010937	0.010937			LC	12.7	1	species					omnivore		species							
Sporophila torqueola	bird	499	6	10	0.3000	5	2.59	8.05	18.5	14.3	-87.5	-92.1	25.000	26.700	2000.0	3500.0	0.104744	0.030423	0.021725	0.065500	0.120010	0.081491	0.027273	LC								granivore		species							
Stelgidopteryx rufficollis	bird	5	1			1			10.4	10.4	-64.2	-64.2	26.35	26.35	436.0	436.0	0.001524	0.001524	0.001524	0.001524	0.001524		0.006313									invertivore		genus							
Stelgidopteryx ruficollis	bird	31	4	13	0.1538	4	15.55	32.65	-9.9	-21.8	-46.6	-67.9	19.5	26.100	1300.0	1951.0	0.011823	0.011184	0.013519	0.013657	0.013699	0.006092	0.004244	LC	16.1	1	species					invertivore		species							
Stelgidopteryx serripennis	bird	3	1			1			14.3	14.3	-90.8	-90.8	25.000	25.000	2000.0	2000.0	0.011628	0.011628	0.011628	0.011628	0.011628			LC	15.6987260629645	2	species					invertivore		species							
