species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Leptotila verreauxi	bird	120	24	82	0.2439	18	26.75	106.84	18.5	-23.7	-45.9	-92.7	15.45	27.000	436.0	2500.0	0.008910	0.009108	0.008789	0.011959	0.083916	0.002968	0.008657	LC	146.880904136651	2	species					granivore		species							
Lesbia nuna	bird	15	2			2	3.00	3.12	-4.3	-7.4	-78.8	-79.0	15.45	15.45	895.0	895.0	0.010087	0.005156	0.012580	0.012580	0.024055		0.034404	LC	3.7	1	species					nectarivore	invertivore	species							
Leucippus fallax	bird	166	2	1	0.0000	2	0.98	0.53	10.7	10.4	-63.7	-64.2	26.35	27.300	430.0	436.0	0.035569	0.034104	0.034257	0.034257	0.037489	0.037184	0.153704	LC	6	1	species														
Leuconotopicus fumigatus	bird	2	1			1			15.7	15.7	-87.5	-87.5	26.700	26.700	2884.0	2884.0	0.011299	0.011299	0.011299	0.011299	0.011299			LC																	
Leucopternis albicollis	bird	1	1			1			-3.4	-3.4	-54.9	-54.9	25.05	25.05	1920.0	1920.0	0.000797	0.000797	0.000797	0.000797	0.000797		0.000651		619	1	species					carnivore		species							
Leucopternis plumbea	bird	1	1			1			9.2	9.2	-79.7	-79.7	27.000	27.000	2600.0	2600.0	0.002381	0.002381	0.002381	0.002381	0.002381											carnivore		species							
Leucopternis semiplumbea	bird	3	3	5	0.0000	2	4.07	4.37	10.4	9.2	-79.7	-84.0	26.000	27.000	2600.0	4260.0	0.001643	0.001801	0.002381	0.002413	0.002445	0.000000	0.001471									carnivore		species							
Lipaugus lanioides	bird	1	1			1			-23.2	-23.2	-44.2	-44.2	23.000	23.000	1700.0	1700.0	0.003448	0.003448	0.003448	0.003448	0.003448		0.003236	NT	94.8	1	species					frugivore		species							
Lipaugus vociferans	bird	14	9	19	0.3158	8	15.32	53.86	7.8	-14.5	-39.1	-74.7	24.000	26.350	1631.0	2500.0	0.002576	0.003959	0.005618	0.006061	0.008621	0.000958	0.004501	LC	75.4204216376441	2	species					invertivore		species							
Lochmias nematura	bird	15	4	3	0.3333	3	9.24	13.71	-10.2	-23.7	-46.6	-48.2	18.000	24.000	1300.0	1661.0	0.007928	0.005943	0.006711	0.012162	0.017613	0.006326	0.016336	LC	22	1	species					invertivore		species							
Lophornis delattrei	bird	1	1			1			9.3	9.3	-79.1	-79.1					0.003968	0.003968	0.003968	0.003968	0.003968		0.030303	LC	2.8	1	species					nectarivore		species							
Lophornis helenae	bird	1	1			1			13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.002564	0.002564	0.002564	0.002564	0.002564			LC	2.6	1	species					nectarivore		species							
Lophotriccus eulophotes	bird	2	2			2	1.00	0.30	-9.8	-10.0	-67.6	-67.7	26.000	26.000	1875.0	1875.0	0.011111	0.011211	0.011312	0.011312	0.012821		0.012500	LC	6	1	species					invertivore		species							
Lophotriccus galeatus	bird	3	2			2	3.61	3.41	-0.9	-3.4	-52.6	-54.9	25.05	26.000	1920.0	2115.0	0.001863	0.002117	0.002202	0.002202	0.002809		0.001645	LC	6.6	1	species					invertivore		species							
Machaeropterus pyrocephalus	bird	60	5	4	0.5000	4	14.56	28.10	-8.5	-14.1	-48.2	-74.7	24.000	26.100	1300.0	2400.0	0.025295	0.022728	0.019608	0.033557	0.048438	0.013382	0.004157	LC	9.7	1	species					invertivore		species							
Machaeropterus regulus	bird	11	2	6	0.0000	2	35.80	35.35	-8.5	-14.5	-39.1	-74.7	24.000	25.700	2000.0	2400.0	0.028133	0.016465	0.024696	0.024696	0.043103	0.000000	0.039007	LC	9.6	1	species					frugivore		species							
Macheropterus regulus	bird	1	1			1			-0.6	-0.6	-76.2	-76.2	25.000	25.000	3100.0	3100.0	0.002732	0.002732	0.002732	0.002732	0.002732		0.005208																		
Machetornis rixosa	bird	4	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.021390	0.021390	0.021390	0.021390	0.021390		0.032258	LC	29.6	1	species					invertivore		species							
Malacoptila fusca	bird	16	6	5	0.6000	5	10.70	23.95	-0.6	-2.6	-52.6	-76.2	25.000	26.700	2115.0	3100.0	0.008097	0.007213	0.007918	0.008812	0.014045	0.006024	0.006601	LC	45.4	1	species					invertivore		species							
Malacoptila mystacalis	bird	1	1			1			4.7	4.7	-75.6	-75.6	16.800	16.800	2630.0	2630.0	0.016667	0.016667	0.016667	0.016667	0.016667		0.012500	LC	49	1	species					invertivore		species							
Malacoptila panamensis	bird	24	7	20	0.1000	4	5.85	12.83	17.6	9.2	-79.7	-89.1	24.400	27.000	1500.0	3035.0	0.008730	0.007252	0.006452	0.010740	0.023810	0.001138	0.009302	LC	42.6	1	species					invertivore		species							
Malacoptila rufa	bird	27	4	3	0.6667	3	16.43	25.23	-3.0	-8.5	-50.0	-74.7	25.05	25.700	1920.0	2400.0	0.009985	0.010917	0.012344	0.020391	0.025157	0.009692	0.007863	LC								invertivore		species							
Malacoptila semicincta	bird	3	1			1			-10.0	-10.0	-67.6	-67.6	26.000	26.000	1875.0	1875.0	0.038462	0.038462	0.038462	0.038462	0.038462		0.037500	LC	44	1	species					invertivore		species							
Malacoptila striata	bird	28	3	5	0.0000	3	5.64	8.60	-22.5	-23.6	-43.0	-52.2	18.000	21.000	1200.0	1400.0	0.011277	0.009700	0.011014	0.012219	0.013423	0.008170	0.057143	NT	44.1	1	species					invertivore		species							
Manacus candei	bird	187	12	17	0.5294	7	3.77	12.61	18.5	10.4	-84.0	-92.1	24.400	27.000	1500.0	4260.0	0.022816	0.022716	0.023299	0.092765	0.120000	0.019318	0.014098	LC	18.8	1	species					frugivore		species							
Manacus manacus	bird	47	9	36	0.1667	8	18.04	72.02	-0.6	-22.9	-35.0	-71.0	21.000	26.000	1200.0	3500.0	0.007494	0.005115	0.004687	0.012195	0.112069	0.003220	0.010440	LC								frugivore		species							
Manacus vitellinus	bird	29	5	2	0.5000	1		0.21	9.2	9.0	-79.6	-79.7	27.000	27.000	2000.0	2750.0	0.019167	0.012233	0.007335	0.023256	0.093750	0.078652	0.012500	LC	19.3	1	species					frugivore		species							
Margarornis rubiginosus	bird	3	1			1			9.6	9.6	-81.7	-81.7	13.250	13.250	2550.0	2550.0	0.037500	0.037500	0.037500	0.037500	0.037500			LC	17.8	1	species					invertivore		genus							
Margarornis squamiger	bird	16	2	3	0.0000	2	9.43	10.33	4.6	-4.3	-73.7	-79.0	13.6	13.6	1861.0	1861.0	0.015370	0.022079	0.027584	0.027584	0.044118	0.009950	0.041667	LC	17.3	1	species					invertivore		species							
Masius chrysopterus	bird	3	2			1		0.00	4.7	4.7	-75.6	-75.6	16.800	16.800	2630.0	2630.0	0.022222	0.021082	0.023333	0.023333	0.033333		0.018750	LC	10.8	1	species														
Mecocerculus leucophrys	bird	20	5	15	0.0667	4	19.37	36.87	4.6	-27.2	-65.6	-79.0	13.6	18.800	895.0	1861.0	0.004224	0.003776	0.003315	0.006873	0.080882	0.003144	0.005501	LC	10.9836241741968	2	species					invertivore		species							
Mecocerculus stictopterus	bird	21	2			2	3.00	3.12	-4.3	-7.4	-78.8	-79.0	15.45	15.45	895.0	895.0	0.014122	0.011362	0.016815	0.016815	0.029210		0.048165	LC	9.4	1	species					invertivore		genus							
Megaceryle torquata	bird	2	2	3	0.0000	2	1.00	0.87	16.5	15.8	-88.5	-89.1	26.25	26.600	3035.0	3500.0	0.000485	0.000942	0.001831	0.001831	0.003401	0.000000		LC								carnivore		species							
Megarhynchus pitangua	bird	5	1			1			-14.7	-14.7	-66.8	-66.8					0.039370	0.039370	0.039370	0.039370	0.039370		0.108696									carnivore	invertivore	species							
Megarynchus pitangua	bird	20	10	61	0.1148	9	26.14	67.74	15.8	-19.6	-45.9	-88.5	18.500	26.700	1000.0	3500.0	0.002240	0.003114	0.003962	0.005982	0.011299	0.000477	0.000848	LC	66.6183157997859	2	species					invertivore		species							
Megascops choliba	bird	1	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.000756	0.000756	0.000756	0.000756	0.000756		0.000181	LC	132	1	species					carnivore	invertivore	species							
Megascops koepckeae	bird	4	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.006873	0.006873	0.006873	0.006873	0.006873		0.020408	LC								carnivore	invertivore	genus							
Megascops trichopsis	bird	1	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.002907	0.002907	0.002907	0.002907	0.002907		0.003906	LC	84.5	1	species					carnivore	invertivore	genus							
Megastictus margaritatus	bird	12	4	3	0.6667	3	8.42	14.26	-2.1	-8.5	-62.1	-74.7	25.700	26.350	2400.0	2500.0	0.014670	0.014144	0.014163	0.019995	0.024242	0.012411	0.022989	LC	20.2	1	species					invertivore		species							
Melanerpes aurifrons	bird	125	6	9	0.3333	5	2.52	6.45	18.5	15.7	-86.9	-92.1	25.75	26.700	2168.0	3500.0	0.027156	0.027720	0.023273	0.033792	0.097087	0.019771	0.022727	LC	85.4	1	species					invertivore	frugivore	species							
Melanerpes cruentatus	bird	3	1			1			-14.1	-14.1	-60.9	-60.9	25.500	25.500	1450.0	1450.0	0.004687	0.004687	0.004687	0.004687	0.004687			LC	58.1	1	species					omnivore		species							
Melanerpes hoffmanii	bird	1	1			1			10.3	10.3	-84.8	-84.8	18.500	18.500	2500.0	2500.0	0.002088	0.002088	0.002088	0.002088	0.002088																				
Melanerpes pygmaeus	bird	14	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.005591	0.005591	0.005591	0.005591	0.005591		0.064815	LC	40.5	1	species														
Melanerpes rubricapillus	bird	6	2	3	0.0000	2	3.94	3.78	10.7	10.2	-63.7	-67.5	15.500	27.300	430.0	1700.0	0.003868	0.004676	0.004834	0.004834	0.006061	0.000000	0.015625	LC	55.9	1	species					frugivore	invertivore	species							
Melanerpes santacruzi	bird	22	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.008786	0.008786	0.008786	0.008786	0.008786		0.101852																		
Melanopareia torquata	bird	4	1			1			-15.6	-15.6	-47.6	-47.6	20.7	20.7	1552.0	1552.0	0.005063	0.005063	0.005063	0.005063	0.005063			LC	17.2	1	species					invertivore		species							
Melanoptila glabrirostris	bird	1017	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.406150	0.406150	0.406150	0.406150	0.406150		4.708333	NT	35.4	1	species														
Melospiza lincolnii	bird	3	1			1			18.4	18.4	-94.9	-94.9	25.6	25.6	1873.0	1873.0	0.093750	0.093750	0.093750	0.093750	0.093750		0.015000	LC	16.6	1	species					granivore		species							
Melozone biarcuatum	bird	4	2			1		0	15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.004494	0.004962	0.005039	0.005039	0.005917		0.020202																		
Melozone leucotis	bird	145	4	8	0.1250	2	7.70	9.30	15.3	10.3	-84.8	-92.7	18.500	26.85	1993.0	2500.0	0.081967	0.049836	0.073934	0.109156	0.114286	0.041883	0.041667	LC	39.9	1	species														
Metallura tyrianthina	bird	8	2	3	0.0000	2	9.43	10.33	4.6	-4.3	-73.7	-79.0	13.6	13.6	1861.0	1861.0	0.007685	0.007541	0.007544	0.007544	0.007735	0.004264	0.029167	LC	3.8	1	species					nectarivore	invertivore	species							
Micrastur gilvicollis	bird	20	6	4	0.5000	5	11.44	32.58	7.8	-14.1	-52.6	-62.1	25.05	26.350	1450.0	2475.0	0.003413	0.003303	0.003797	0.004808	0.006250	0.003027	0.003846	LC	209	1	species					carnivore	invertivore	species							
Micrastur mirandollei	bird	4	3	16	0.0625	3	14.65	22.84	10.4	7.8	-61.1	-84.0	26.000	27.000	1631.0	4260.0	0.001037	0.001253	0.001003	0.001701	0.002398	0.000130	0.001471	LC	549	1	species					carnivore		species							
Micrastur ruficollis	bird	24	12	64	0.1250	10	24.95	95.32	10.4	-27.2	-39.1	-84.0	18.800	27.000	739.0	4260.0	0.002370	0.002920	0.002968	0.007051	0.009804	0.000430	0.003531	LC	161	1	species					carnivore		species							
Microbates cinereiventris	bird	37	6	11	0.3636	3	8.31	14.77	10.4	-0.6	-76.2	-84.0	25.000	27.000	2600.0	4260.0	0.011399	0.009085	0.010480	0.012607	0.020408	0.008748	0.010646	LC	11.9	1	species					invertivore		species							
Microbates collaris	bird	31	6	5	0.6000	4	5.96	11.63	-0.6	-2.6	-59.7	-71.0	24.000	26.700	2475.0	3500.0	0.013091	0.011761	0.018393	0.023268	0.025000	0.008621	0.015121	LC	10.2	1	species					invertivore		species							
Microcerculus bambla	bird	6	2			2	3.00	2.34	-2.1	-2.4	-59.7	-62.1	26.350	26.700	2475.0	2500.0	0.006803	0.007082	0.009466	0.009466	0.015748		0.003695	LC	19.1	1	species					invertivore		species							
Microcerculus marginatus	bird	46	7	52	0.0769	6	18.82	56.34	16.5	-8.5	-50.0	-89.1	24.000	27.000	2400.0	3500.0	0.016140	0.011107	0.012579	0.019778	0.025172	0.001438	0.026316	LC	18.6475199423409	2	species					invertivore		species							
Microcerculus philomela	bird	10	3	5	0.2000	2	4.07	4.37	10.4	9.2	-79.7	-84.0	26.000	27.000	2600.0	4260.0	0.004869	0.004071	0.006018	0.006580	0.007143	0.003170	0.002917	LC	18.6	1	species					invertivore		species							
Microrhopias quixensis	bird	12	7	51	0.0784	5	21.00	48.86	17.6	-9.8	-54.9	-88.7	24.400	27.000	1500.0	2600.0	0.002897	0.002968	0.002667	0.007283	0.012165	0.000332	0.001083	LC	7.9	1	species					invertivore		species							
Mimus gilvus	bird	166	5	21	0.0476	5	14.43	31.34	20.4	9.3	-63.7	-88.5	25.500	27.300	430.0	3500.0	0.014748	0.003702	0.003962	0.003968	0.106061	0.001351	0.124153	LC	51.9992307635411	2	species					invertivore	frugivore	species							
Mimus saturninus	bird	15	1			1			-15.6	-15.6	-47.6	-47.6	20.7	20.7	1552.0	1552.0	0.018987	0.018987	0.018987	0.018987	0.018987			LC	63.7	1	species					invertivore		species							
Mionectes macconnelli	bird	171	7	8	0.2500	6	10.80	31.62	7.8	-3.4	-50.0	-71.0	24.000	26.700	1631.0	3500.0	0.025409	0.018398	0.026316	0.039607	0.069486	0.012773	0.026418	LC	13.5	1	species					frugivore		species							
Mionectes oleagineus	bird	580	34	68	0.4559	20	20.61	99.99	18.5	-14.5	-39.1	-92.7	18.500	27.000	1450.0	4260.0	0.032420	0.023348	0.018753	0.046662	0.245714	0.017800	0.043085	LC	11.1706715666234	3	species					invertivore		species							
Mionectes olivaceus	bird	75	9	13	0.3846	4	9.08	17.21	10.4	9.2	-67.6	-84.8	15.500	27.000	876.0	4260.0	0.017606	0.014551	0.014286	0.016216	0.191489	0.011752	0.012575	LC	15.3140458403389	2	species					frugivore		species							
Mionectes rufiventris	bird	40	4	1	1.0000	2	1.84	2.53	-23.2	-23.7	-44.2	-46.9	18.000	23.000	1400.0	1700.0	0.022112	0.021515	0.030803	0.045062	0.045296	0.016779	0.038204	LC	13.3	1	species					invertivore	frugivore	species							
Mionectes striaticollis	bird	98	4	4	0.5000	3	6.34	9.98	5.0	-4.3	-75.4	-79.0	13.000	16.800	2500.0	2630.0	0.086344	0.076077	0.071418	0.111418	0.133333	0.065434	0.143066	LC	15	1	species					invertivore	frugivore	species							
Mitrephanes phaeocercus	bird	5	1			1			15.3	15.3	-90.2	-90.2					0.064103	0.064103	0.064103	0.064103	0.064103			LC	8.9	1	species														
Mitrospingus cassinii	bird	4	1			1			10.4	10.4	-84.0	-84.0	26.000	26.000	4260.0	4260.0	0.004012	0.004012	0.004012	0.004012	0.004012		0.003333	LC	40.4	1	species					frugivore	invertivore	species							
Mniotilta varia	bird	102	16	31	0.4194	11	6.80	30.14	20.4	9.2	-79.8	-98.4	16.85	27.000	1107.0	3500.0	0.009251	0.009918	0.007403	0.021180	0.116505	0.006610	0.024915	LC	10.9	1	species					invertivore		species							
Molothrus aeneus	bird	5	2	5	0.0000	2	5.37	6.61	15.8	10.3	-84.8	-88.5	18.500	26.600	2500.0	3500.0	0.001160	0.001476	0.001566	0.001566	0.002088	0.000000		LC	68.9	1	species					granivore	invertivore	species							
Molothrus bonariensis	bird	3	1			1			-17.0	-17.0	-45.9	-45.9	22.500	22.500	1442.0	1442.0	0.004608	0.004608	0.004608	0.004608	0.004608			LC	44.1253313673697	3	species					invertivore	frugivore	species							
Molothrus oryzivorus	bird	5	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.001304	0.001304	0.001304	0.001304	0.001304			LC	212	1	species					invertivore	granivore	genus							
Molothrus rufoaxillaris	bird	3	1			1			-23.8	-23.8	-56.3	-56.3	22.55	22.55	1291.0	1291.0	0.015075	0.015075	0.015075	0.015075	0.015075			LC								invertivore	granivore	genus							
Momotus aequatorialis	bird	1	1			1			5.0	5.0	-75.4	-75.4	13.000	13.000	2500.0	2500.0	0.010526	0.010526	0.010526	0.010526	0.010526		0.003509	LC	158	1	species					frugivore	invertivore	species							
Momotus momota	bird	119	26	87	0.2529	22	25.05	122.41	18.5	-22.9	-35.1	-92.7	18.500	27.000	1200.0	3500.0	0.006852	0.007334	0.007875	0.013430	0.040541	0.002881	0.004301	LC	122.049170419139	2	species					carnivore	invertivore	species							
Monasa atra	bird	1	1			1			7.8	7.8	-61.1	-61.1	26.000	26.000	1631.0	1631.0	0.000409	0.000409	0.000409	0.000409	0.000409			LC	90.4	1	species					omnivore		species							
Monasa morpheus	bird	1	1			1			13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.002667	0.002667	0.002667	0.002667	0.002667											invertivore		species							
Monasa morphoeus	bird	6	4	4	0.2500	3	11.30	20.16	-3.4	-14.1	-54.9	-67.7	25.05	26.000	1450.0	1920.0	0.002030	0.002486	0.002865	0.007246	0.009804	0.000418	0.000952	LC	87.9056312189384	2	species					invertivore		species							
Monasa nigrifrons	bird	14	4	7	0.1429	3	14.94	20.94	-9.8	-18.7	-48.5	-67.9	22.5	26.100	1450.0	1951.0	0.005747	0.005385	0.005748	0.008306	0.009804	0.003898	0.001780	LC	80.7	1	species					invertivore		species							
Myadestes melanops	bird	33	5	5	0.4000	3	2.11	3.16	10.4	9.6	-81.7	-84.8	13.250	26.000	2500.0	4260.0	0.014570	0.018155	0.033403	0.037500	0.083333	0.013245	0.003333	LC	32.1	1	species					omnivore	frugivore	genus							
Myadestes obscurus	bird	6	1			1			15.3	15.3	-90.2	-90.2					0.076923	0.076923	0.076923	0.076923	0.076923			VU	51	1	species					omnivore	frugivore	genus							
Myadestes occidentalis	bird	13	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.037791	0.037791	0.037791	0.037791	0.037791		0.050781	LC	36.4	1	species					omnivore	frugivore	genus							
Myadestes ralloides	bird	71	6	8	0.5000	4	9.74	19.32	10.4	-4.3	-67.7	-79.0	13.000	16.800	1700.0	2630.0	0.041814	0.023259	0.024123	0.045624	0.120000	0.024778	0.063393	LC	29.1	1	species					frugivore		species							
Myadestes unicolor	bird	1	1			1			16.5	16.5	-89.1	-89.1	26.25	26.25	3035.0	3035.0	0.003401	0.003401	0.003401	0.003401	0.003401			LC	37.9	1	species					omnivore		species							
Myiarchus cephalotes	bird	3	1			1			10.4	10.4	-64.2	-64.2	26.35	26.35	436.0	436.0	0.000914	0.000914	0.000914	0.000914	0.000914		0.003788	LC	26.25376163524	2	species					invertivore		species							
Myiarchus crinitus	bird	12	4	12	0.1667	3	6.07	10.81	15.8	9.2	-79.8	-88.5	24.400	27.000	2274.0	3500.0	0.002617	0.004920	0.006626	0.009801	0.010256	0.001001	0.006410	LC	32.1	1	species					invertivore		species							
Myiarchus ferox	bird	56	10	39	0.1538	9	17.46	62.33	10.4	-23.8	-45.9	-74.9	19.5	26.35	436.0	2400.0	0.007643	0.006555	0.005531	0.015803	0.062992	0.002275	0.017455	LC	27.5	1	species					invertivore		species							
Myiarchus panamensis	bird	1	1			1			9.3	9.3	-79.1	-79.1					0.003968	0.003968	0.003968	0.003968	0.003968		0.030303	LC	31.7	1	species					invertivore		genus							
Myiarchus swainsoni	bird	68	6	34	0.0588	5	23.26	54.93	10.4	-19.6	-45.9	-76.2	20.7	26.35	436.0	3100.0	0.012477	0.008821	0.005589	0.008233	0.050633	0.003019	0.017045	LC	25.1	1	species					invertivore		species							
Myiarchus tuberculifer	bird	83	14	42	0.2619	11	13.12	42.99	20.4	-8.5	-74.7	-92.7	15.45	26.85	895.0	3500.0	0.007254	0.005975	0.008078	0.010876	0.026846	0.004216	0.046453	LC	17.7012351910196	3	species					invertivore		species							
Myiarchus tyrannulus	bird	165	16	83	0.1446	15	28.13	84.11	20.4	-23.8	-45.9	-92.1	20.5	27.300	430.0	3500.0	0.010173	0.010271	0.012922	0.023767	0.058252	0.003589	0.047779	LC	35.4550419545655	2	species					invertivore		species							
Myiobius atricaudus	bird	3	1			1			9.0	9.0	-79.6	-79.6	27.000	27.000	2000.0	2000.0	0.013393	0.013393	0.013393	0.013393	0.013393			LC	10	1	species					invertivore		species							
Myiobius barbatus	bird	136	13	48	0.1875	10	19.34	75.63	7.8	-23.7	-35.0	-76.2	19.3	26.700	1442.0	3100.0	0.016606	0.013714	0.012579	0.016854	0.038793	0.006743	0.013545	LC	11.4	1	species					invertivore		species							
Myiobius sulphureipygius	bird	63	11	30	0.2000	6	6.36	19.31	18.5	9.2	-79.7	-95.1	24.400	28.4	1050.0	3035.0	0.018166	0.014391	0.021583	0.027043	0.042553	0.002919	0.033981	LC	11.9	1	species					invertivore		species							
Myioborus brunniceps	bird	7	2			2	3.00	2.62	-24.8	-27.2	-64.7	-65.6	18.800	20.000	739.0	1700.0	0.003838	0.006787	0.020121	0.020121	0.039062		0.010870	LC	9.2	1	species					invertivore		species							
Myioborus melanocephalus	bird	7	1			1			-4.3	-4.3	-79.0	-79.0					0.007735	0.007735	0.007735	0.007735	0.007735		0.029167	LC	11.3	1	species					invertivore		species							
Myioborus miniatus	bird	62	8	47	0.1064	8	16.11	49.97	20.1	-7.4	-67.7	-98.4	15.45	26.85	895.0	2630.0	0.017519	0.015211	0.016924	0.038543	0.064103	0.002801	0.031716	LC	9	1	species					invertivore		species							
Myioborus ornatus	bird	1	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.007353	0.007353	0.007353	0.007353	0.007353			LC	11.7	1	species					invertivore		species							
Myioborus pictus	bird	1	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.002907	0.002907	0.002907	0.002907	0.002907		0.003906	LC	9.7	1	species					invertivore		genus							
Myioborus torquatus	bird	9	2			1		0	9.6	9.6	-81.7	-81.7	13.250	13.250	2550.0	2550.0	0.059211	0.049301	0.057639	0.057639	0.087500			LC	10.5	1	species					invertivore		genus							
Myiodynastes hemichrysus	bird	1	1			1			10.3	10.3	-84.8	-84.8	18.500	18.500	2500.0	2500.0	0.002088	0.002088	0.002088	0.002088	0.002088			LC	43.4	1	species					invertivore	frugivore	genus							
Myiodynastes luteiventris	bird	2	2	13	0.0000	2	6.31	7.67	18.5	13.7	-85.8	-92.1	24.400	26.000	2168.0	2274.0	0.005479	0.005986	0.006540	0.006540	0.009174	0.000000	0.009091	LC	46.9	1	species					invertivore	frugivore	species							
Myiodynastes maculatus	bird	28	7	18	0.2222	7	13.15	47.67	-9.9	-27.2	-45.9	-67.9	18.000	26.100	1200.0	1951.0	0.004032	0.003203	0.001678	0.012019	0.036585	0.001367	0.001649	LC	43.2	1	species					invertivore		species							
Myiopagis caniceps	bird	3	1	1	0.0000	1			-0.6	-0.6	-71.0	-71.0	24.000	24.000	3500.0	3500.0	0.003432	0.003432	0.003432	0.003432	0.003432	0.002288		LC	10.5	1	species					invertivore		species							
Myiopagis gaimardii	bird	2	1			1			-14.7	-14.7	-66.8	-66.8					0.015748	0.015748	0.015748	0.015748	0.015748		0.043478	LC	12.3983869918631	2	species					invertivore		species							
Myiopagis viridicata	bird	97	12	85	0.0941	12	28.02	84.93	20.4	-22.9	-45.9	-95.1	20.7	28.4	430.0	3500.0	0.005190	0.002801	0.002072	0.010725	0.031915	0.001821	0.031281	LC	11.5180033070122	3	species					invertivore		species							
Myiophobus fasciatus	bird	58	7	47	0.0638	7	25.69	73.28	10.4	-23.8	-46.6	-79.6	19.5	27.000	436.0	2400.0	0.009952	0.010385	0.015075	0.021729	0.056751	0.001830	0.033484	LC	9.9	1	species					invertivore		species							
Myiophobus flavicans	bird	18	1			1			10.4	10.4	-67.7	-67.7	15.500	15.500	1700.0	1700.0	0.048649	0.048649	0.048649	0.048649	0.048649		0.120000	LC	12.7	1	species					invertivore		species							
Myiophobus pulcher	bird	5	1			1			4.7	4.7	-75.6	-75.6	16.800	16.800	2630.0	2630.0	0.066667	0.066667	0.066667	0.066667	0.066667		0.062500		9.5	1	species					invertivore		genus							
Myiornis auricularis	bird	15	1			1			-22.9	-22.9	-52.2	-52.2	21.000	21.000	1200.0	1200.0	0.008696	0.008696	0.008696	0.008696	0.008696			LC	5.3	1	species					invertivore		species							
Myiornis ecaudatus	bird	1	1			1			7.8	7.8	-61.1	-61.1	26.000	26.000	1631.0	1631.0	0.000409	0.000409	0.000409	0.000409	0.000409			LC	5.25357021462548	2	species					invertivore		species							
Myiornis eucaudatus	bird	4	1	1	0.0000	1			-0.6	-0.6	-71.0	-71.0	24.000	24.000	3500.0	3500.0	0.004577	0.004577	0.004577	0.004577	0.004577	0.003432										invertivore		genus							
Myiotheretes striaticollis	bird	2	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.003436	0.003436	0.003436	0.003436	0.003436		0.010204	LC	61.2	1	species					invertivore		species							
Myiothlypis coronata	bird	41	1			1			-4.3	-4.3	-79.0	-79.0					0.045304	0.045304	0.045304	0.045304	0.045304		0.170833									invertivore		genus							
Myiothlypis flaveola	bird	11	2			1		0.03	-6.7	-6.7	-35.1	-35.2	25.000	25.000	1875.0	1875.0	0.043307	0.039282	0.048769	0.048769	0.077670		0.023913									invertivore		genus							
Myiothlypis fraseri	bird	13	1			1			-4.3	-4.3	-79.0	-79.0					0.014365	0.014365	0.014365	0.014365	0.014365		0.054167									invertivore		genus							
Myiothlypis fulvicauda	bird	3	2	2	0.0000	2	13.42	12.46	-0.6	-9.8	-67.7	-76.2	25.000	26.000	1875.0	3100.0	0.006410	0.007319	0.007634	0.007634	0.009804	0.000000	0.011029									invertivore		species							
Myiothlypis luteoviridis	bird	4	1			1			-4.3	-4.3	-79.0	-79.0					0.004420	0.004420	0.004420	0.004420	0.004420		0.016667									invertivore		genus							
Myiothlypis nigrocristata	bird	14	1			1			-4.3	-4.3	-79.0	-79.0					0.015470	0.015470	0.015470	0.015470	0.015470		0.058333									invertivore		genus							
Myiozetetes cayanensis	bird	24	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.018154	0.018154	0.018154	0.018154	0.018154		0.004339	LC	25.9	1	species					omnivore		species							
Myiozetetes similis	bird	79	7	70	0.0571	6	29.78	62.50	15.8	-23.8	-45.9	-88.5	22.500	26.600	1291.0	3500.0	0.011249	0.006694	0.007812	0.009460	0.027231	0.001377	0.006065	LC	28	1	species					invertivore	frugivore	species							
Mylodynastes maculatus	bird	1	1			1			9.0	9.0	-79.6	-79.6	27.000	27.000	2000.0	2000.0	0.004464	0.004464	0.004464	0.004464	0.004464																				
