species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	forearm length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source
Molossus ater	bat	262	9	81	0.0864	7	32.52	66.59	21.4	-25.1	-56.6	-99.7	25.000	27.000	1048.0	6000.0	0.076519	0.049067	0.063291	0.184211	0.226190	0.007704			34.7294288372634	171	species	33.4	72	39.6	59										invertivore		species
Molossus coibensis	bat	4	2	1	0.0000	2	22.02	23.18	10.2	-13.0	-68.0	-68.9	23.000	25.000	964.0	2000.0	0.014706	0.015094	0.026202	0.026202	0.047619	0.000000	0.048193	LC	15.54027026792	2	species														invertivore		genus
Molossus currentium	bat	10	1			1			8.8	8.8	-75.9	-75.9	28.000	28.000	1200.0	1200.0	0.016556	0.016556	0.016556	0.016556	0.016556			LC	19.6949938170773		genus														invertivore		genus
Molossus molossus	bat	546	36	107	0.2991	32	23.35	121.87	10.4	-30.3	-37.1	-85.1	14.500	28.000	903.0	7850.0	0.031385	0.021066	0.015621	0.110345	0.277778	0.013868	0.034825	LC	12.8844719631452	55	species	13.2	1			12	36.99864862397	63.9997356032304	9.38083151964686			36.4691650576209	100.468900660851		invertivore		species
Molossus pretiosus	bat	10	3	3	0.0000	2	0.98	1.43	10.4	10.2	-67.4	-68.8	14.500	23.000	964.0	1250.0	0.013106	0.012604	0.014368	0.014465	0.014563	0.005388	0.049020	LC	19.6949938170773		genus														invertivore		genus
Molossus rufus	bat	455	11	112	0.0714	11	28.32	111.16	20.5	-30.3	-35.1	-90.5	14.500	26.000	819.0	3116.0	0.062363	0.013549	0.009709	0.023149	0.224050	0.011134	0.220936	LC	36.5239647354994	2	species														invertivore		species
Molossus sinaloae	bat	1333	3			1		0	21.0	21.0	-89.6	-89.6	26.35	26.35	1048.0	1048.0	0.547883	0.527809	0.560704	0.560964	0.561224			LC	23.3241444736081	771	species	21.8	436	25.5	329										invertivore		species
Mormoops megalophylla	bat	77	11	24	0.2917	8	7.14	18.85	21.4	16.6	-89.6	-105.0	16.000	27.000	332.0	4964.0	0.011532	0.010617	0.011439	0.018463	0.097087	0.004226	0.022996	LC	15.0616518415857	49	species			13.5	1										invertivore		species
Musonycteris harrisoni	bat	2	1			1			19.4	19.4	-105.0	-105.0	24.600	24.600	788.0	788.0	0.010417	0.010417	0.010417	0.010417	0.010417		0.037037	VU	11.4	20	species														nectarivore		species
Myotis albescens	bat	46	10	61	0.1148	10	19.32	65.28	8.8	-23.5	-43.4	-75.9	20.95	29.500	910.0	3116.0	0.011002	0.016872	0.022595	0.035116	0.157895	0.001572	0.011794	LC	6.45535080381955	19	species														invertivore		species
Myotis elegans	bat	7	1			1			17.8	17.8	-88.7	-88.7	27.000	27.000	1480.0	1480.0	0.015556	0.015556	0.015556	0.015556	0.015556			LC	4.03493472793471	10	species	4.03493472793471	10			12	34.2	41	7	13		35	76	4.5	invertivore		genus
