commonName,genus
Sapphire-throated hummingbird,Chrysuronia
Sapphire-bellied hummingbird,Chrysuronia
Humboldt's sapphire,Chrysuronia
Blue-headed sapphire,Chrysuronia
White-chested emerald,Chrysuronia
Plain-bellied emerald,Chrysuronia
White-throated hummingbird,Leucochloris
Glittering-throated emerald,Chionomesa
Sapphire-spangled emerald,Chionomesa
Rufous-throated sapphire,Hylocharis
Gilded sapphire,Hylocharis
White-bellied hummingbird,Elliotomyia
Green-and-white hummingbird,Elliotomyia
Blue-chested hummingbird,Polyerata
Charming hummingbird,Polyerata
Purple-chested hummingbird,Polyerata
White-bellied emerald,Chlorestes
Blue-throated sapphire,Chlorestes
White-chinned sapphire,Chlorestes
Violet-bellied hummingbird,Chlorestes
Blue-chinned sapphire,Chlorestes
